,positive%,dead%,"ICU Beds per 10,000 Population","Hospital Beds per 10,000 Population",Share of Private Sector Enrollees in Enrolled in Self-Insured Plans,"Critical Care Nurses and CRNAs per 10,000 Adults",American Indian/Alaska Native,"Older adults, as a share of all at-risk adults","Total 2nd-Line Critical Care Physicians* per 10,000 Adults",Median Household Income 2020,Median Household Income 2021,Multiple Races,Asian
0,7.756571869575711,0.041587638790222405,1.8,22.6,0.566,2.54,0.151,0.494,4.37,74746,81133,0.083,0.06
367,9.9480741415833,0.20197922925856626,3.9,31.6,0.549,5.07,0.004,0.51,3.48,54689,56929,0.019,0.014
733,10.785834680381095,0.17662153779946632,2.9,28.6,0.629,3.19,0.006,0.503,3.58,50777,50784,0.024,0.016
1100,11.55636955705249,0.22831567410594306,2.5,18.4,0.631,1.46,0.039,0.591,5.23,67088,70821,0.024,0.033
1469,8.855719185963416,0.13689032003284518,2.1,19.2,0.434,0.89,0.004,0.56,4.43,77652,81575,0.033,0.147
1838,7.561891704369146,0.10372872643154822,3.2,17.5,0.612,1.77,0.005,0.591,5.18,83777,84954,0.028,0.032
2207,7.912768473387274,0.2136472446604828,2.1,23.4,0.599,2.66,0.002,0.599,6.08,79432,80958,0.026,0.046
2580,8.925115258579238,0.14879569431929757,2.7,20.4,0.659,4.99,0.003,0.583,4.93,70022,68687,0.028,0.039
2947,9.55466570474653,0.16715976276121863,2.6,23.2,0.652,2.45,0.002,0.509,3.99,59265,61497,0.025,0.041
3316,1.9720725555583807,0.030578497063433546,1.6,20.9,0.314,1.09,0.001,0.625,4.19,80825,82199,0.184,0.394
3685,8.631330816330523,0.16988546333065982,2.0,27.7,0.659,2.45,0.003,0.601,3.97,68816,72429,0.019,0.023
4052,9.402992540941089,0.10216920612514993,1.9,19.0,0.622,3.54,0.009,0.594,2.5,66725,76918,0.026,0.012
4418,9.360537647704586,0.17976894059196583,2.8,24.1,0.587,2.12,0.001,0.553,4.79,74334,79253,0.022,0.056
4787,9.833604695168894,0.18770831098184254,3.6,25.0,0.622,1.29,0.002,0.514,4.96,66805,70190,0.023,0.024
5162,10.070561084863916,0.16379157760017427,3.1,29.0,0.605,4.85,0.006,0.547,3.6,73082,75979,0.032,0.028
5529,9.115045465480767,0.10695018638050742,3.3,32.1,0.69,4.23,0.001,0.488,4.5,56755,55629,0.02,0.016
5896,9.313173701418945,0.20928528474113184,3.4,31.6,0.526,4.53,0.005,0.484,3.9,51186,57206,0.019,0.017
6262,8.411991208431052,0.23353049545250676,2.3,21.8,0.524,2.15,0.002,0.6,6.19,87812,86566,0.032,0.067
6673,6.270114213115795,0.12877952944558915,2.1,18.1,0.603,2.01,0.002,0.536,5.22,94789,97332,0.032,0.064
7041,3.3613753790300502,0.0518218766125522,2.2,25.7,0.531,3.71,0.007,0.594,5.12,63693,71139,0.019,0.011
7407,6.51037462201053,0.16530170538210961,2.8,24.5,0.599,3.99,0.005,0.532,4.18,64392,64488,0.027,0.032
7779,8.586901169089112,0.1147815103284083,2.3,24.9,0.664,5.53,0.009,0.6,3.8,78753,80441,0.03,0.049
8146,7.809094945777463,0.1325932633003911,3.5,29.3,0.618,3.73,0.004,0.538,5.39,62178,63594,0.026,0.021
8512,10.0490700133287,0.22990066116701602,3.2,36.8,0.622,3.52,0.004,0.496,3.41,45134,46637,0.014,0.01
8878,9.307477691438585,0.1273720860522493,2.4,35.7,0.581,1.42,0.061,0.623,5.07,56741,64999,0.028,0.008
9244,8.354666001493575,0.11017887255459803,3.2,23.1,0.727,4.22,0.011,0.542,3.97,60430,62891,0.026,0.029
9613,12.885608155113504,0.18970753208213642,3.8,41.0,0.668,6.36,0.052,0.565,4.21,64115,68882,0.026,0.014
9979,10.350526942590992,0.1077234611808082,2.9,30.1,0.685,4.03,0.008,0.567,4.33,72248,78109,0.021,0.024
10366,5.579628450653307,0.08595100357233859,1.9,20.2,0.615,3.15,,0.553,5.38,88894,88841,0.021,0.026
10735,8.748084022876967,0.25378420957102565,2.2,21.5,0.591,1.33,0.001,0.596,4.64,85549,88559,0.024,0.096
11127,8.827393528851175,0.17983284235063438,2.2,17.7,0.575,2.21,0.087,0.588,3.15,50906,53463,0.018,0.016
11495,9.540316445136176,0.16224239148570482,3.7,20.4,0.527,0.9,0.009,0.569,4.41,61164,64340,0.037,0.085
11863,8.322104242168393,0.1932009253487247,2.3,28.5,0.525,1.34,0.002,0.561,5.6,68659,72920,0.027,0.086
12234,8.292515039686602,0.14963411847740674,3.2,24.3,0.72,3.59,0.001,0.549,4.56,60379,62689,0.028,0.023
12602,10.835027844195757,0.11451365917613307,3.1,28.5,0.626,2.44,0.077,0.509,4.18,52471,60096,0.071,0.021
12968,3.7070925145896307,0.05418601094670702,2.0,16.4,0.495,1.52,0.009,0.562,4.89,76855,81855,0.04,0.047
13337,7.295738577372392,0.18726110730848208,2.9,27.3,0.573,4.4,0.001,0.578,5.05,70789,72627,0.023,0.035
13707,11.73532571700388,0.2320984819283037,2.8,23.9,0.526,2.26,0.002,0.561,3.95,80175,74982,0.033,0.033
14079,10.273961228307536,0.17102917401349046,3.0,23.5,0.675,3.78,0.003,0.554,3.71,60341,62542,0.022,0.017
14448,12.810784657599752,0.21428563372720535,1.8,46.7,0.587,6.62,0.084,0.615,3.57,70189,73893,0.024,0.013
14814,11.318537254516094,0.16702745252386106,3.5,27.1,0.619,5.29,0.003,0.506,4.33,54975,62166,0.022,0.018
15182,9.218635944033222,0.1525140840757434,2.6,20.0,0.625,2.64,0.003,0.488,4.0,68404,67404,0.019,0.05
15552,11.692292912134219,0.06163524288215878,2.2,15.4,0.661,1.37,0.01,0.522,4.4,83993,87649,0.027,0.023
15918,6.785694962562822,0.11117556575166952,2.5,21.2,0.586,2.77,0.002,0.569,4.03,82214,80268,0.033,0.067
16324,2.5009446769204935,0.03234449373869692,1.6,17.4,0.633,0.98,0.007,0.621,4.75,67257,76079,0.02,0.016
16694,4.4713748921032215,0.0654226627166485,2.0,15.1,0.587,1.81,0.011,0.568,4.45,81358,87648,0.05,0.089
17114,10.547739135126587,0.12056905335477537,2.7,22.2,0.629,2.27,0.007,0.593,5.16,67405,69943,0.02,0.03
17484,7.439583523813134,0.12961918163187483,3.7,36.4,0.658,4.87,0.002,0.511,4.0,51970,46836,0.018,0.008
17485,7.439583523813134,0.12961918163187483,3.7,36.4,0.658,4.87,0.002,0.511,4.0,51970,46836,0.018,0.008
