,state,latitude,longitude,State Name,fips,area,Population,Percentage of total US population,"Total number, adults 18 and older","Number at risk, adults 18 and older","At-risk adults, as a share of all adults ages 18 and older","Total number, adults under age 65","Number at risk due to health conditions, adults under age 65",Share of adults under age 65 at risk,"Total number, adults age 65 and older","Older adults, as a share of all at-risk adults",Location_y,Total Hospital Beds,"Hospital Beds per 10,000 Population",ICU Beds,"ICU Beds per 10,000 Population",Total CHCs,CHC Service Delivery Sites,"Intensivist (Critical Care) Physicians per 10,000 Adults","Critical Care Nurses and CRNAs per 10,000 Adults","Total 2nd-Line Critical Care Physicians* per 10,000 Adults",Average Family Deductible for Employer-Sponsored Insurance,Average Exchange Deductible for ACA Marketplace Plans,Share of Private Sector Enrollees in Enrolled in Self-Insured Plans,Influenza Deaths,Pneumonia Deaths,Flu Vaccination Rate for Adults,Flu Vaccination Rate for Adults Aged 65+,Share of Adults Aged 65+ who Have Ever Received a Pneumonia Vaccine,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Median Household Income 2021,Median Household Income 2020
0,AK,63.588753,-154.493062,Alaska,2,663267,733391,0.22,527792.0,172913.0,0.328,442335.0,87456.0,0.198,85457.0,0.494,Alaska,1604.0,22.6,130.0,1.8,27.0,193.0,0.51,2.54,4.37,$3225,$3594,0.566,21.0,47.0,0.407,0.612,0.64208,0.6,0.022,0.07,0.06,0.151,0.015,0.083,81133,74746
1,AL,32.318231,-86.902298,Alabama,1,52419,5024279,1.48,3684158.0,1588905.0,0.431,2873170.0,777917.0,0.271,810988.0,0.51,Alabama,15035.0,31.6,1870.0,3.9,15.0,144.0,0.41,5.07,3.48,$2924,$1882,0.549,183.0,1085.0,0.448,0.715,0.71681,0.654,0.265,0.044,0.014,0.004,,0.019,56929,54689
2,AR,35.20105,-91.831833,Arkansas,5,53179,3011524,0.91,2231289.0,971477.0,0.435,1742217.0,482405.0,0.277,489072.0,0.503,Arkansas,8353.0,28.6,856.0,2.9,12.0,142.0,0.29,3.19,3.58,$3144,$3321,0.629,141.0,529.0,0.445,0.628,0.75009,0.721,0.152,0.078,0.016,0.006,0.004,0.024,50784,50777
3,AZ,34.048928,-111.093731,Arizona,4,113998,7151502,2.19,5389431.0,2107495.0,0.391,4143554.0,861618.0,0.208,1245877.0,0.591,Arizona,12875.0,18.4,1742.0,2.5,20.0,188.0,0.56,1.46,5.23,$3926,$4037,0.631,213.0,903.0,0.426,0.644,0.73986,0.542,0.043,0.318,0.033,0.039,0.002,0.024,70821,67088
4,CA,36.778261,-119.417932,California,6,163695,39538223,11.91,29879585.0,9952647.0,0.333,24302948.0,4376010.0,0.18,5576637.0,0.56,California,74286.0,19.2,8131.0,2.1,177.0,1740.0,0.63,0.89,4.43,$3231,,0.434,1245.0,5672.0,0.429,0.69,0.68886,0.364,0.053,0.395,0.147,0.004,0.004,0.033,81575,77652
5,CO,39.550051,-105.782067,Colorado,8,104093,5773714,1.74,4301492.0,1345398.0,0.313,3506700.0,550606.0,0.157,794792.0,0.591,Colorado,9737.0,17.5,1770.0,3.2,20.0,215.0,0.75,1.77,5.18,$4011,,0.612,151.0,417.0,0.481,0.704,0.77538,0.678,0.038,0.218,0.032,0.005,0.001,0.028,84954,83777
6,CT,41.603221,-73.087749,Connecticut,9,5544,3605944,1.07,2739381.0,985861.0,0.36,2148446.0,394926.0,0.184,590935.0,0.599,Connecticut,8102.0,23.4,731.0,2.1,16.0,290.0,0.98,2.66,6.08,$3784,,0.599,164.0,593.0,0.524,0.754,0.72376,0.657,0.1,0.169,0.046,0.002,,0.026,80958,79432
7,DE,38.910832,-75.52767,Delaware,10,2489,989948,0.29,739951.0,305395.0,0.413,562058.0,127502.0,0.227,177893.0,0.583,Delaware,1916.0,20.4,249.0,2.7,3.0,17.0,0.61,4.99,4.93,$3285,$3372,0.659,31.0,136.0,0.468,0.701,0.72966,0.614,0.218,0.097,0.039,0.003,,0.028,68687,70022
8,GA,32.157435,-82.907123,Georgia,13,59425,10711908,3.2,7748091.0,2803400.0,0.362,6321701.0,1377010.0,0.218,1426390.0,0.509,Georgia,23692.0,23.2,2703.0,2.6,35.0,265.0,0.56,2.45,3.99,$3661,$2254,0.652,243.0,1287.0,0.393,0.584,0.7123,0.52,0.313,0.098,0.041,0.002,0.001,0.025,61497,59265
9,HI,19.898682,-155.665857,Hawaii,15,10931,1455271,0.43,1056723.0,412878.0,0.391,798667.0,154822.0,0.194,258056.0,0.625,Hawaii,2835.0,20.9,219.0,1.6,14.0,73.0,0.45,1.09,4.19,$3240,$2228,0.314,29.0,513.0,0.472,0.668,0.65327,0.204,0.012,0.103,0.394,0.001,0.102,0.184,82199,80825
10,IA,41.878003,-93.097702,Iowa,19,56271,3271616,0.95,2336881.0,862351.0,0.369,1819010.0,344480.0,0.189,517871.0,0.601,Iowa,8468.0,27.7,622.0,2.0,14.0,80.0,0.64,2.45,3.97,$3657,$2072,0.659,197.0,500.0,0.516,0.724,0.7628,0.853,0.039,0.063,0.023,0.003,<.01,0.019,72429,68816
11,ID,44.068202,-114.742041,Idaho,16,83570,1839106,0.54,1282329.0,464522.0,0.362,1006426.0,188619.0,0.187,275903.0,0.594,Idaho,3269.0,19.0,333.0,1.9,14.0,115.0,0.27,3.54,2.5,$3249,,0.622,66.0,169.0,0.414,0.664,0.70532,0.816,0.007,0.129,0.012,0.009,,0.026,76918,66725
12,IL,40.633125,-89.398528,Illinois,17,57914,12801989,3.82,9623149.0,3482300.0,0.362,7697443.0,1556594.0,0.202,1925706.0,0.553,Illinois,29984.0,24.1,3426.0,2.8,44.0,402.0,0.64,2.12,4.79,$3324,$3395,0.587,428.0,2136.0,0.413,0.674,0.68582,0.609,0.136,0.176,0.056,0.001,<.01,0.022,79253,74334
13,IN,40.551217,-85.602364,Indiana,18,36418,6785528,2.03,4955934.0,1976552.0,0.399,3940531.0,961149.0,0.244,1015403.0,0.514,Indiana,16194.0,25.0,2358.0,3.6,25.0,197.0,0.7,1.29,4.96,$3199,$4163,0.622,304.0,814.0,0.453,0.676,0.72501,0.786,0.092,0.072,0.024,0.002,,0.023,70190,66805
14,KS,39.011902,-98.484246,Kansas,20,82276,2937880,0.88,2124795.0,807193.0,0.38,1683235.0,365633.0,0.217,441560.0,0.547,Kansas,8161.0,29.0,878.0,3.1,18.0,91.0,0.41,4.85,3.6,$3398,$2577,0.605,181.0,449.0,0.468,0.68,0.76161,0.757,0.055,0.122,0.028,0.006,,0.032,75979,73082
15,KY,37.839333,-84.270018,Kentucky,21,40410,4505836,1.35,3341735.0,1455749.0,0.436,2630671.0,744685.0,0.283,711064.0,0.488,Kentucky,13872.0,32.1,1447.0,3.3,24.0,324.0,0.57,4.23,4.5,$3248,$4131,0.69,230.0,739.0,0.454,0.66,0.72641,0.845,0.08,0.037,0.016,0.001,,0.02,55629,56755
16,LA,31.244823,-92.145024,Louisiana,22,51840,4657757,1.4,3435791.0,1445420.0,0.421,2736213.0,745842.0,0.273,699578.0,0.484,Louisiana,14279.0,31.6,1518.0,3.4,34.0,287.0,0.44,4.53,3.9,$3383,$2735,0.526,146.0,678.0,0.372,0.643,0.6855,0.588,0.319,0.052,0.017,0.005,,0.019,57206,51186
17,MA,42.407211,-71.382437,Massachusetts,25,10555,7029917,2.09,5318415.0,1837581.0,0.346,4215360.0,734526.0,0.174,1103055.0,0.6,Massachusetts,14486.0,21.8,1555.0,2.3,39.0,276.0,1.01,2.15,6.19,$2729,,0.524,264.0,1177.0,0.535,0.721,0.73415,0.705,0.07,0.124,0.067,0.002,<.01,0.032,86566,87812
18,MD,39.045755,-76.641271,Maryland,24,12407,6177224,1.85,4556875.0,1690631.0,0.371,3650537.0,784293.0,0.215,906338.0,0.536,Maryland,10613.0,18.1,1227.0,2.1,17.0,129.0,1.13,2.01,5.22,$2943,,0.603,125.0,848.0,0.523,0.727,0.75734,0.499,0.296,0.106,0.064,0.002,,0.032,97332,94789
19,ME,45.253783,-69.445469,Maine,23,35385,1362359,0.41,1060936.0,451409.0,0.425,792994.0,183467.0,0.231,267942.0,0.594,Maine,3335.0,25.7,288.0,2.2,18.0,156.0,0.45,3.71,5.12,$3895,$3932,0.531,67.0,245.0,0.456,0.675,0.77197,0.932,0.014,0.017,0.011,0.007,,0.019,71139,63693
20,MI,44.314844,-85.602364,Michigan,26,96716,10077331,3.01,7649977.0,3152031.0,0.412,5973998.0,1476052.0,0.247,1675979.0,0.532,Michigan,23942.0,24.5,2749.0,2.8,38.0,302.0,0.72,3.99,4.18,$3062,$4247,0.599,345.0,1524.0,0.433,0.656,0.74159,0.749,0.134,0.053,0.032,0.005,,0.027,64488,64392
21,MN,46.729553,-94.6859,Minnesota,27,86938,5706494,1.7,4211344.0,1428307.0,0.339,3354163.0,571126.0,0.17,857181.0,0.6,Minnesota,13655.0,24.9,1277.0,2.3,16.0,87.0,0.54,5.53,3.8,$4033,,0.664,229.0,469.0,0.494,0.68,0.72688,0.791,0.064,0.056,0.049,0.009,,0.03,80441,78753
22,MO,37.964253,-91.831833,Missouri,29,69704,6154913,1.82,4590784.0,1860608.0,0.405,3590211.0,860035.0,0.24,1000573.0,0.538,Missouri,17412.0,29.3,2092.0,3.5,29.0,270.0,0.8,3.73,5.39,$3539,$2841,0.618,387.0,1090.0,0.481,0.729,0.74446,0.794,0.112,0.043,0.021,0.004,0.001,0.026,63594,62178
23,MS,32.354668,-89.398528,Mississippi,28,48431,2961279,0.9,2185597.0,929387.0,0.425,1724625.0,468415.0,0.272,460972.0,0.496,Mississippi,10598.0,36.8,931.0,3.2,20.0,227.0,0.29,3.52,3.41,$3707,$1136,0.622,92.0,818.0,0.399,0.683,0.68727,0.566,0.376,0.03,0.01,0.004,,0.014,46637,45134
24,MT,46.879682,-110.362566,Montana,30,147042,1084225,0.32,813505.0,317546.0,0.39,615520.0,119561.0,0.194,197985.0,0.623,Montana,3689.0,35.7,248.0,2.4,14.0,65.0,0.5,1.42,5.07,$3498,$4160,0.581,43.0,109.0,0.468,0.678,0.73296,0.861,0.006,0.037,0.008,0.061,,0.028,64999,56741
25,NC,35.759573,-79.0193,North Carolina,37,53818,10439388,3.16,7785717.0,3038856.0,0.39,6137620.0,1390759.0,0.227,1648097.0,0.542,North Carolina,23230.0,23.1,3168.0,3.2,40.0,264.0,0.57,4.22,3.97,$3752,$2957,0.727,430.0,1634.0,0.52,0.729,0.76695,0.627,0.209,0.097,0.029,0.011,<.01,0.026,62891,60430
26,ND,47.551493,-101.002012,North Dakota,38,70700,779094,0.23,560523.0,194056.0,0.346,450954.0,84487.0,0.187,109569.0,0.565,North Dakota,2999.0,41.0,278.0,3.8,4.0,26.0,0.79,6.36,4.21,$3574,$3365,0.668,24.0,128.0,0.472,0.686,0.75247,0.841,0.024,0.04,0.014,0.052,,0.026,68882,64115
27,NE,41.492537,-99.901813,Nebraska,31,77353,1961504,0.58,1404355.0,514118.0,0.366,1112641.0,222404.0,0.2,291714.0,0.567,Nebraska,5621.0,30.1,548.0,2.9,7.0,45.0,0.4,4.03,4.33,$3272,$2828,0.685,86.0,308.0,0.495,0.705,0.76604,0.785,0.048,0.113,0.024,0.008,,0.021,78109,72248
28,NH,43.193852,-71.572395,New Hampshire,33,9350,1377529,0.41,1059120.0,428938.0,0.405,821964.0,191782.0,0.233,237156.0,0.553,New Hampshire,2646.0,20.2,252.0,1.9,10.0,43.0,0.91,3.15,5.38,$4644,$3621,0.615,61.0,204.0,0.486,0.715,0.78632,0.898,0.013,0.039,0.026,,,0.021,88841,88894
29,NJ,40.058324,-74.405661,New Jersey,34,8722,9288994,2.68,6799427.0,2354252.0,0.346,5396351.0,951176.0,0.176,1403076.0,0.596,New Jersey,18803.0,21.5,1882.0,2.2,23.0,129.0,0.7,1.33,4.64,$3614,$1780,0.591,205.0,1260.0,NR,NR,0.68092,0.545,0.124,0.21,0.096,0.001,,0.024,88559,85549
30,NM,34.97273,-105.032363,New Mexico,35,121589,2117522,0.63,1575314.0,619893.0,0.394,1211046.0,255625.0,0.211,364268.0,0.588,New Mexico,3621.0,17.7,460.0,2.2,17.0,212.0,0.39,2.21,3.15,$3021,$3312,0.575,60.0,305.0,0.447,0.687,0.71326,0.367,0.017,0.495,0.016,0.087,,0.018,53463,50906
31,NV,38.80261,-116.419389,Nevada,32,110560,3104614,0.93,2307514.0,833620.0,0.361,1833570.0,359676.0,0.196,473944.0,0.569,Nevada,6078.0,20.4,1118.0,3.7,7.0,45.0,0.67,0.9,4.41,$3710,,0.527,59.0,468.0,0.339,0.653,0.68451,0.478,0.092,0.293,0.085,0.009,0.006,0.037,64340,61164
32,NY,43.299428,-74.217933,New York,36,54556,20201249,5.86,15028787.0,5550169.0,0.369,11914579.0,2435961.0,0.204,3114208.0,0.561,New York,54219.0,28.5,4420.0,2.3,62.0,760.0,0.85,1.34,5.6,$2888,,0.525,523.0,4226.0,0.473,0.663,0.64003,0.552,0.14,0.193,0.086,0.002,,0.027,72920,68659
33,OH,40.417287,-82.907123,Ohio,39,44825,11799448,3.52,8817672.0,3506796.0,0.398,6891542.0,1580666.0,0.229,1926130.0,0.549,Ohio,27554.0,24.3,3622.0,3.2,47.0,304.0,0.81,3.59,4.56,$3738,$4619,0.72,464.0,1931.0,0.476,0.7,0.74287,0.786,0.122,0.04,0.023,0.001,,0.028,62689,60379
34,OK,35.007752,-97.092877,Oklahoma,40,69899,3959353,1.19,2879096.0,1175713.0,0.408,2280666.0,577283.0,0.253,598430.0,0.509,Oklahoma,10857.0,28.5,1164.0,3.1,20.0,99.0,0.36,2.44,4.18,$3201,$2289,0.626,187.0,622.0,0.498,0.755,0.75098,0.65,0.069,0.111,0.021,0.077,0.001,0.071,60096,52471
35,OR,43.804133,-120.554201,Oregon,41,98380,4237256,1.27,3257427.0,1297341.0,0.398,2528112.0,568026.0,0.225,729315.0,0.562,Oregon,6731.0,16.4,837.0,2.0,30.0,232.0,0.7,1.52,4.89,$3348,$4027,0.495,199.0,331.0,0.451,0.681,0.77283,0.75,0.018,0.134,0.047,0.009,0.003,0.04,81855,76855
36,PA,41.203322,-77.194525,Pennsylvania,42,46056,13002700,3.86,9798951.0,3898304.0,0.398,7547656.0,1647009.0,0.218,2251295.0,0.578,Pennsylvania,33857.0,27.3,3643.0,2.9,43.0,306.0,0.87,4.4,5.05,$2994,$3090,0.573,512.0,2375.0,0.503,0.738,0.75258,0.76,0.104,0.078,0.035,0.001,<.01,0.023,72627,70789
37,RI,41.580095,-71.477429,Rhode Island,44,1545,1097379,0.32,814843.0,312092.0,0.383,639889.0,137138.0,0.214,174954.0,0.561,Rhode Island,2424.0,23.9,279.0,2.8,8.0,52.0,0.91,2.26,3.95,$3795,,0.526,49.0,143.0,0.563,0.741,0.75458,0.705,0.059,0.166,0.033,0.002,,0.033,74982,80175
38,SC,33.836081,-81.163725,South Carolina,45,32020,5118425,1.55,3838837.0,1590048.0,0.414,2957890.0,709101.0,0.24,880947.0,0.554,South Carolina,11574.0,23.5,1459.0,3.0,23.0,200.0,0.59,3.78,3.71,$3124,$3824,0.675,222.0,660.0,0.433,0.689,0.73565,0.637,0.262,0.057,0.017,0.003,,0.022,62542,60341
39,SD,43.969515,-99.901813,South Dakota,46,77353,886667,0.27,639915.0,226086.0,0.353,500965.0,87136.0,0.174,138950.0,0.615,South Dakota,3967.0,46.7,150.0,1.8,4.0,48.0,0.42,6.62,3.57,$4002,$3614,0.587,50.0,195.0,0.504,0.671,0.77009,0.819,0.022,0.037,0.013,0.084,,0.024,73893,70189
40,TN,35.517491,-86.580447,Tennessee,47,42144,6910840,2.06,5105824.0,2121941.0,0.416,4031127.0,1047244.0,0.26,1074697.0,0.506,Tennessee,17876.0,27.1,2309.0,3.5,29.0,207.0,0.63,5.29,4.33,$3879,$3361,0.619,283.0,1363.0,0.443,0.669,0.74511,0.736,0.164,0.057,0.018,0.003,,0.022,62166,54975
41,TX,31.968599,-99.901813,Texas,48,268580,29145505,8.74,20715876.0,7199553.0,0.348,17205161.0,3688838.0,0.214,3510715.0,0.488,Texas,56117.0,20.0,7149.0,2.6,72.0,537.0,0.48,2.64,4.0,$3547,$2805,0.625,722.0,2794.0,0.432,0.675,0.71259,0.411,0.117,0.4,0.05,0.003,0.001,0.019,67404,68404
42,UT,39.32098,-111.093731,Utah,49,84898,3205958,0.97,2189374.0,657278.0,0.3,1846133.0,314037.0,0.17,343241.0,0.522,Utah,4779.0,15.4,687.0,2.2,13.0,60.0,0.5,1.37,4.4,$3164,$3751,0.661,64.0,289.0,0.419,0.642,0.73746,0.778,0.01,0.144,0.023,0.01,0.008,0.027,87649,83993
43,VA,37.431573,-78.656894,Virginia,51,42774,8631393,2.57,6343962.0,2275390.0,0.359,5048192.0,979620.0,0.194,1295770.0,0.569,Virginia,17370.0,21.2,2007.0,2.5,26.0,166.0,0.55,2.77,4.03,$3043,$3341,0.586,219.0,1064.0,0.506,0.714,0.73877,0.613,0.189,0.096,0.067,0.002,<.01,0.033,80268,82214
44,VT,44.558803,-72.577841,Vermont,50,9615,643077,0.19,490326.0,191781.0,0.391,371176.0,72631.0,0.196,119150.0,0.621,Vermont,1046.0,17.4,94.0,1.6,11.0,72.0,0.49,0.98,4.75,$3686,,0.633,35.0,52.0,0.502,0.694,0.74781,0.928,0.011,0.018,0.016,0.007,,0.02,76079,67257
45,WA,47.751074,-120.740139,Washington,53,71300,7705281,2.29,5733155.0,2013681.0,0.351,4590384.0,870910.0,0.19,1142771.0,0.568,Washington,11116.0,15.1,1493.0,2.0,27.0,349.0,0.59,1.81,4.45,$3139,,0.587,282.0,648.0,0.511,0.717,0.78047,0.675,0.038,0.13,0.089,0.011,0.006,0.05,87648,81358
46,WI,43.78444,-88.787868,Wisconsin,55,65498,5893718,1.75,4415638.0,1612619.0,0.365,3459881.0,656862.0,0.19,955757.0,0.593,Wisconsin,12589.0,22.2,1506.0,2.7,17.0,143.0,0.58,2.27,5.16,$3619,$3778,0.629,283.0,792.0,0.484,0.66,0.74932,0.811,0.062,0.071,0.03,0.007,,0.02,69943,67405
47,WV,38.597626,-80.454903,West Virginia,54,24230,1793716,0.54,1397752.0,689770.0,0.493,1045095.0,337113.0,0.323,352657.0,0.511,West Virginia,6382.0,36.4,643.0,3.7,27.0,342.0,0.52,4.87,4.0,$2923,$3856,0.658,119.0,420.0,0.465,0.691,0.73022,0.925,0.032,0.014,0.008,0.002,,0.018,46836,51970
48,WV,38.597626,-80.454903,West Virginia,54,24230,1793716,0.54,1397752.0,689770.0,0.493,1045095.0,337113.0,0.323,352657.0,0.511,West Virginia,6382.0,36.4,643.0,3.7,27.0,342.0,0.52,4.87,4.0,$2923,$3856,0.658,119.0,420.0,0.465,0.691,0.73022,0.925,0.032,0.014,0.008,0.002,,0.018,46836,51970
